"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0042254","ribosome biogenesis",319,0.438607190114918,2.05690612099472,1e-10,3.32044385703115e-07,1.39190817934618e-07,4893,"tags=50%, list=31%, signal=35%","6130/285855/6228/4869/7520/5591/3921/29997/6129/29960/54606/23076/23560/131870/51504/6949/114049/6218/85395/6230/81554/25926/27341/54913/29777/64745/26164/51335/81875/6232/9875/57602/79707/51018/6838/285367/9045/51550/11224/8886/54955/51490/55695/55720/8225/6189/26155/128061/10775/25871/1736/6233/84294/6201/83743/55035/10813/54680/118460/26284/220064/26574/64216/6041/22868/30836/51187/91582/2971/6210/88745/51077/1983/55006/51119/55127/7284/10200/28987/55319/65095/10438/84946/6234/115939/55505/54059/90121/57109/27079/9221/79979/6205/92856/9326/196074/57455/11137/79050/9790/79922/57696/9277/64794/27042/51116/1964/2752/55003/130916/79066/10969/115416/92170/317781/25983/10528/85865/55178/81691/50628/11056/7514/51388/65083/55226/29081/55352/6191/6194/56342/9188/163859/22984/113000/10799/10199/54663/11103/3692/57418/5822/54853/90459/221078/51154/64434/57647/79954/10248/54552/27043/6209/161424/10607/9816/51202/84881/10556/2257/10557",NA
"GO:0016236","macroautophagy",354,-0.367487997339092,-1.93345626239471,1.41385729488233e-10,3.32044385703115e-07,1.39190817934618e-07,2754,"tags=31%, list=18%, signal=26%","167410/2629/128866/27243/83452/5049/162427/131540/285636/8897/801/90410/5861/79837/706/200576/29110/7095/64127/57132/64419/440026/10524/84557/9525/10213/9550/254122/140775/51375/55294/2773/27429/23647/9821/25851/65018/55626/6720/9114/8473/84313/10075/53349/139341/488/26353/55187/60412/2931/55968/5830/10015/7251/23673/55763/79142/84749/7879/8454/8878/79137/55207/23545/79643/10043/7855/55062/6810/124997/7405/55737/535/2548/84937/23001/6721/1020/51100/4943/5862/8678/128077/9978/112574/160760/533/6714/143686/51606/528/9706/5290/29978/55823/8723/10273/7415/51368/9373/8673/2081/11337/120892/54463/523/4734/10312/291",0.826657301178302
"GO:0140053","mitochondrial gene expression",169,0.500578863525108,2.17551289910577,2.26543604722163e-10,3.54691770460001e-07,1.48684452352546e-07,4271,"tags=50%, list=27%, signal=37%","5018/11222/64969/7818/23107/81892/55173/90480/5442/60488/9238/51253/26164/7019/55037/51335/64975/128308/51318/9553/55157/285367/740/55278/60528/65003/26995/64963/6150/9692/87178/65080/54998/64983/79590/51204/84705/64216/22868/57129/283459/55006/7284/26589/79675/91574/10573/6182/51021/219402/23395/78988/51264/55687/54516/51654/64968/51263/10128/25821/64979/57038/57570/51116/65005/57505/10240/115416/92170/51250/64863/60493/54534/65993/4528/55052/9801/84148/7978/55149/55005/51373/55699/79828/8846",0.826657301178302
"GO:0032543","mitochondrial translation",129,0.509885327542541,2.14306696537697,1.69158596469107e-08,1.32422987935899e-05,5.55108437238394e-06,5302,"tags=64%, list=34%, signal=42%","5018/11222/64969/7818/23107/55173/90480/60488/51253/26164/55037/51335/64975/128308/51318/9553/55157/285367/740/55278/65003/26995/64963/6150/65080/54998/64983/79590/51204/22868/57129/283459/7284/26589/91574/10573/6182/51021/219402/23395/78988/51264/54516/64968/51263/10128/64979/57038/51116/65005/57505/10240/115416/92170/51250/54534/65993/4528/55052/9801/55005/51373/55699/79828/8846/51258/116540/28957/29074/64951/51649/64949/84881/51023/79072/51642/51081/124454/23438/122704/9617/65008",0.73376198835648
"GO:0009451","RNA modification",171,0.467020808114716,2.03498859516548,1.48608643930843e-08,1.32422987935899e-05,5.55108437238394e-06,5036,"tags=57%, list=32%, signal=39%","104/103/29960/51504/114049/6637/54733/285367/56339/54859/127253/115708/81890/51490/55695/339175/6894/26995/1736/79691/64118/146712/10785/84266/84705/84267/64216/22868/80745/96764/55006/24140/51531/55623/115939/54901/56986/55505/27079/27304/79979/55687/27350/57604/51654/196074/25821/285381/79922/142940/57570/55253/83640/9582/8518/55644/348180/441250/11180/79066/5073/60489/64863/55152/10528/55178/4234/55140/55226/8731/200316/29081/51574/113802/113000/134353/79828/8846/84520/63892/54974/11062/6635/221078/83448/9836/6633/55621/91801/84881/51605/26024/56931/6741/54433/117246/285605",0.747739663149885
"GO:0016072","rRNA metabolic process",282,0.416797208600804,1.9302476739369,1.33250201063242e-08,1.32422987935899e-05,5.55108437238394e-06,4778,"tags=46%, list=31%, signal=33%","6130/162394/285855/5591/29997/6129/1663/29960/54606/23076/131870/51504/6949/114049/6218/85395/6230/112495/25926/27341/54913/29777/6232/9875/57602/79707/55506/51018/285367/9045/84365/221830/11224/8886/1387/51490/55695/55720/128061/10775/25871/9328/1736/84294/6201/55035/10813/54680/118460/26574/64216/6041/30836/2971/88745/51077/55006/51119/55127/10200/28987/65095/10438/6234/2975/115939/55505/54059/90121/57109/27079/9221/79979/92856/9326/196074/57455/11137/79050/9790/79922/57696/9277/55106/10849/27042/55003/2972/130916/79066/10969/317781/25983/10528/55178/81691/50628/84172/11056/65083/55226/29081/55352/64425/4141/6194/5441/56342/9188/163859/22984/113000/10799/10199/54663/11103/3692/57418/5822/54853/90459/221078/51154/57647/79954/10248/27043/6209/161424/10607/51202",0.747739663149885
"GO:0006364","rRNA processing",232,0.435129890017347,1.96244935346555,2.04822341087545e-08,1.37435790869742e-05,5.76121776736039e-06,4893,"tags=50%, list=31%, signal=35%","6130/285855/5591/29997/6129/29960/54606/23076/131870/51504/114049/6218/85395/6230/25926/27341/54913/29777/6232/9875/57602/79707/51018/285367/9045/11224/8886/51490/55695/55720/128061/10775/25871/1736/84294/6201/55035/10813/54680/118460/26574/64216/6041/30836/88745/51077/55006/51119/55127/10200/28987/65095/10438/6234/115939/55505/54059/90121/57109/27079/9221/79979/92856/9326/196074/57455/11137/79050/9790/79922/57696/9277/27042/55003/130916/79066/10969/317781/25983/10528/55178/81691/50628/11056/65083/55226/29081/55352/6194/56342/9188/163859/22984/113000/10799/10199/54663/11103/3692/57418/5822/54853/90459/221078/51154/57647/79954/10248/27043/6209/161424/10607/51202/84881/10556/10557",0.73376198835648
"GO:0007093","mitotic cell cycle checkpoint signaling",138,0.492892681974441,2.08527538663571,4.97936122125399e-08,2.62817690069641e-05,1.10171443408137e-05,3718,"tags=47%, list=24%, signal=36%","54908/1026/5591/11130/29997/701/9656/1063/221150/8379/332/147841/57082/55143/699/348654/58493/8525/197342/55755/80279/29980/27183/9319/55159/7517/6118/55055/83540/990/220134/2177/51149/7272/57405/54465/672/63967/3364/4683/595/4361/3619/991/79858/8914/146956/9735/641/51499/79184/4998/1112/5932/84142/90381/6419/51776/4085/11073/9212/84936/92421/10459/1017",0.719512826338911
"GO:0000075","cell cycle checkpoint signaling",188,0.453392592447135,2.02667364748857,5.03589357169847e-08,2.62817690069641e-05,1.10171443408137e-05,3494,"tags=42%, list=22%, signal=33%","54908/1026/5591/11130/29997/701/9656/1063/221150/8379/332/147841/57082/55143/699/348654/79968/58493/8525/197342/55755/80279/29980/27183/9319/83695/55159/81620/7517/6118/55055/83540/990/7158/220134/2177/51149/7272/57405/57805/54465/9894/1763/672/151636/63967/3364/5984/4683/440275/80185/84444/595/5982/4361/83990/3619/991/79858/8914/146956/9735/641/51499/79184/4998/1112/80254/5932/84142/90381/6419/51776/84126/4085/2074/11073/9212/84936",0.719512826338911
"GO:0006310","DNA recombination",299,0.395734146644453,1.83744920106441,7.48071108855173e-08,3.51368999829275e-05,1.47291568805003e-05,4086,"tags=39%, list=26%, signal=30%","2547/29128/328/7520/5591/64710/201254/64110/142/84515/9907/9401/5965/3149/7040/165918/348654/58493/9156/5889/197342/65980/57820/22909/5395/55183/285498/9319/54386/83695/55159/1387/4173/63979/84717/27301/7517/6118/2237/3575/79728/7158/3838/2068/2177/78996/7516/51149/2067/8971/2073/7486/672/23514/118460/10635/84464/283899/10933/54537/55317/27336/6119/3364/56160/7037/4683/10097/80119/115004/6929/4439/4361/83990/4796/8914/146956/4292/79703/641/158880/84296/51659/56893/9400/10856/7156/5892/5932/7515/7292/10721/7011/51588/2187/27434/23126/2074/11073/23397/116028/10459/4174/317761/55929/580/79173/9985/4176/55218/7153/675/64769/4437/5893/254225/78995/126549",0.704975715167238
